59.89;0.00;79.05;77.98;46.49;0.00;0.00;98.17;34.25;67.13;0.00;0.00;22.69;80.96;0.00;0.00;88.18;86.80;0.00;17.41;71.84;0.00;0.00;104.39;0.00;0.00;79.54;0.00;41.10;0.00
85.13;0.00;0.00;105.10;35.44;0.00;68.63;0.00;105.30;71.23;0.00;0.00;48.82;0.00;0.00;0.00;19.07;0.00;17.41;0.00;14.87;0.00;0.00;73.71;40.32;45.74;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;13.12;0.00;44.30;19.57;0.00;0.00;0.00;0.00;48.89;0.00;35.92;40.40;10.29;0.00;71.84;14.87;0.00;35.49;0.00;66.96;0.00;0.00;0.00;65.32;10.74;0.00
0.00;0.00;0.00;0.00;109.21;66.08;0.00;0.00;47.42;0.00;15.97;0.00;0.00;0.00;0.00;52.81;12.83;109.64;0.00;0.00;35.49;0.00;60.64;15.18;79.02;98.41;0.00;95.55;47.25;46.88
0.00;0.00;72.17;93.91;80.62;100.13;0.00;72.97;39.31;84.12;0.00;69.99;76.28;96.08;0.00;38.31;83.78;0.00;0.00;0.00;0.00;60.64;0.00;69.65;56.43;54.60;0.00;88.60;26.18;0.00
107.73;0.00;0.00;62.21;34.29;0.00;0.00;86.13;63.66;0.00;52.13;105.81;0.00;93.96;99.23;0.00;0.00;77.20;104.39;73.71;66.96;15.18;69.65;0.00;74.14;0.00;104.71;0.00;0.00;0.00
0.00;59.73;81.39;44.80;0.00;32.66;95.13;90.86;101.12;0.00;0.00;87.82;84.09;48.08;0.00;52.64;0.00;70.02;0.00;40.32;0.00;79.02;56.43;74.14;0.00;65.09;0.00;0.00;52.40;0.00
76.60;53.44;62.85;94.91;0.00;42.34;0.00;0.00;18.68;0.00;0.00;75.25;0.00;0.00;71.52;38.10;34.09;0.00;0.00;45.74;0.00;98.41;54.60;0.00;65.09;0.00;51.47;98.20;22.87;38.97
0.00;0.00;16.14;0.00;92.85;16.07;0.00;0.00;0.00;0.00;0.00;83.60;96.75;0.00;0.00;0.00;0.00;87.84;79.54;0.00;0.00;0.00;0.00;104.71;0.00;51.47;0.00;29.96;97.14;0.00
53.52;0.00;61.84;0.00;0.00;0.00;0.00;0.00;0.00;82.31;84.23;0.00;105.30;63.16;0.00;35.47;0.00;54.06;0.00;0.00;65.32;95.55;88.60;0.00;0.00;98.20;29.96;0.00;87.24;105.70
0.00;93.94;0.00;57.85;106.47;76.25;0.00;0.00;33.74;0.00;100.55;68.66;0.00;105.34;70.54;75.81;68.30;0.00;41.10;0.00;10.74;47.25;26.18;0.00;52.40;22.87;97.14;87.24;0.00;61.59
0.00;0.00;0.00;33.72;0.00;24.75;55.44;0.00;0.00;100.31;60.57;103.13;101.20;63.48;22.45;0.00;81.20;77.46;0.00;0.00;0.00;46.88;0.00;0.00;0.00;38.97;0.00;105.70;61.59;0.00
